date,company_name
2025-02-17,RBC IT Auditor
2025-05-02,Jconnect Infotech inc
2025-05-02, CGI
2025-05-02, Maastricht University 
2025-05-02, ParaMed Home Health Care
2025-06-02, TomTom
2025-06-02, Proofpoint
2025-06-02, Hiver
2025-06-02, SageBeans RPO
2025-06-02, 1Point System LLC
2025-06-22, Universis Corporation
2025-06-22, WorkWolf
2025-07-17, TCS
2025-7-17, Someone studied at IIM, Calcutta. 
2025-07-17, Infosys
2025-07-17,Spectrum Conferences
2025-07-31, RBC
2025-07-31, Value Labs
2025-07-31, Bull IT Services
2025-07-31, RBC Capital Markets 
2025-08-08, Britnell Ventures Inc
2025-08-08, HR Connects
2025-08-08, Transamerica
2025-08-08, Grid Dynamics 
2025-08-08, Dream11
2025-08-15, Freelancer.com
2025-08-08, OPEGIEKA 
2025-08-08, IUOE Local 793
2025-08-08, The Walmer Group
2025-08-25, Orbiqe Technologies Pvt ltd
2025-08-25, AstraZeneca
2025-08-25, Rise Technical
2025-08-25, Optum 
2025-09-04, TAL Group
2025-09-04, Siddi Softech
2025-09-04, Amazon
2025-09-04, National Research Council Canada
2025-09-04, Accuray
2025-09-11, ProHire Solutions
2025-09-11,Hays
2025-09-11, Pyramid Consulting Inc
2025-09-11, Hourglass Research
2025-09-11, MTD Training
2025-09-17, Warburg Pincus LLC
2025-09-17, Ashok Leyland
2025-09-17, George Brown College
2025-09-17, Tata Consultancy Services
2025-09-25,Valeo
2025-09-25,OnX
2025-09-25,XTIUM
2025-09-25,Aurubis
2025-09-25,UniSysTech Consulting





